%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.position0,field.position1,field.velocity0,field.velocity1,field.effort0,field.effort1
1494450135452055778,530,1494450134783681007,,wheel_left_joint,wheel_right_joint,0.424023524858,0.402091273572,0.731075042859,0.731075042859,0.0,0.0
1494450135452063250,531,1494450134797982170,,wheel_left_joint,wheel_right_joint,0.441081942525,0.416712774429,0.852920883335,0.731075042859,0.0,0.0
1494450135452072126,532,1494450134817305164,,wheel_left_joint,wheel_right_joint,0.455703443382,0.436208108906,0.731075042859,0.974766723812,0.0,0.0
1494450135452081573,533,1494450134837232860,,wheel_left_joint,wheel_right_joint,0.470324944239,0.453266526572,0.731075042859,0.852920883335,0.0,0.0
1494450135452099154,534,1494450134857670760,,wheel_left_joint,wheel_right_joint,0.484946445096,0.470324944239,0.731075042859,0.852920883335,0.0,0.0
1494450135452106879,535,1494450134877573665,,wheel_left_joint,wheel_right_joint,0.528810947668,0.506878696382,2.19322512858,1.82768760715,0.0,0.0
1494450135452120165,536,1494450134897563444,,wheel_left_joint,wheel_right_joint,0.57023853343,0.540995531715,2.0713792881,1.70584176667,0.0,0.0
1494450135452128548,537,1494450134917569806,,wheel_left_joint,wheel_right_joint,0.614103036001,0.589733867906,2.19322512858,2.43691680953,0.0,0.0
1494450135452136232,538,1494450134937599626,,wheel_left_joint,wheel_right_joint,0.657967538573,0.626287620049,2.19322512858,1.82768760715,0.0,0.0
1494450135452146592,539,1494450134958159358,,wheel_left_joint,wheel_right_joint,0.696958207525,0.657967538573,1.94953344762,1.58399592619,0.0,0.0
1494450135452157541,540,1494450134977178521,,wheel_left_joint,wheel_right_joint,0.728638126049,0.689647457097,1.58399592619,1.58399592619,0.0,0.0
1494450135452166773,541,1494450134997178341,,wheel_left_joint,wheel_right_joint,0.762754961383,0.721327375621,1.70584176667,1.58399592619,0.0,0.0
1494450135452173127,542,1494450135018727731,,wheel_left_joint,wheel_right_joint,0.799308713526,0.762754961383,1.82768760715,2.0713792881,0.0,0.0
1494450135452182496,543,1494450135037103192,,wheel_left_joint,wheel_right_joint,0.843173216097,0.806619463954,2.19322512858,2.19322512858,0.0,0.0
1494450135452194303,544,1494450135057127012,,wheel_left_joint,wheel_right_joint,0.891911552288,0.852920883335,2.43691680953,2.31507096905,0.0,0.0
1494450135452214060,545,1494450135077104791,,wheel_left_joint,wheel_right_joint,0.969892890193,0.923591470812,3.89906689525,3.53352937382,0.0,0.0
1494450135452227013,546,1494450135097271943,,wheel_left_joint,wheel_right_joint,1.03081581043,0.98451439105,3.04614601191,3.04614601191,0.0,0.0
1494450135452236112,547,1494450135117436763,,wheel_left_joint,wheel_right_joint,1.09661256429,1.05518497853,3.28983769286,3.53352937382,0.0,0.0
1494450135455338314,548,1494450135138368367,,wheel_left_joint,wheel_right_joint,1.15753548453,1.12341864919,3.04614601191,3.41168353334,0.0,0.0
1494450135455351937,549,1494450135157358946,,wheel_left_joint,wheel_right_joint,1.22089532157,1.18434156943,3.16799185239,3.04614601191,0.0,0.0
1494450135455361823,550,1494450135177697139,,wheel_left_joint,wheel_right_joint,1.27450749138,1.24039065605,2.68060849048,2.80245433096,0.0,0.0
1494450135455618482,551,1494450135198274162,,wheel_left_joint,wheel_right_joint,1.33299349481,1.29887665948,2.92430017143,2.92430017143,0.0,0.0
1494450135455629386,552,1494450135218261900,,wheel_left_joint,wheel_right_joint,1.39879024867,1.36223649653,3.28983769286,3.16799185239,0.0,0.0
1494450135455640970,553,1494450135237192563,,wheel_left_joint,wheel_right_joint,1.46946083615,1.42803325038,3.53352937382,3.28983769286,0.0,0.0
1494450135455649791,554,1494450135257170926,,wheel_left_joint,wheel_right_joint,1.53769450681,1.49870383786,3.41168353334,3.53352937382,0.0,0.0
1494450135455670969,555,1494450135277176538,,wheel_left_joint,wheel_right_joint,1.60592817748,1.56937442534,3.41168353334,3.53352937382,0.0,0.0
1494450135455685983,556,1494450135297154151,,wheel_left_joint,wheel_right_joint,1.66928801453,1.63517117919,3.16799185239,3.28983769286,0.0,0.0
1494450135455721524,557,1494450135318101254,,wheel_left_joint,wheel_right_joint,1.73264785158,1.69853101624,3.16799185239,3.16799185239,0.0,0.0
1494450135455778700,558,1494450135338188241,,wheel_left_joint,wheel_right_joint,1.79844460543,1.76189085329,3.28983769286,3.16799185239,0.0,0.0
1494450135455795703,559,1494450135358455809,,wheel_left_joint,wheel_right_joint,1.86424135929,1.82768760715,3.28983769286,3.28983769286,0.0,0.0
1494450135455801235,560,1494450135378620087,,wheel_left_joint,wheel_right_joint,1.93247502996,1.89835819462,3.41168353334,3.53352937382,0.0,0.0
1494450135455814986,561,1494450135398155078,,wheel_left_joint,wheel_right_joint,1.995834867,1.96415494848,3.16799185239,3.28983769286,0.0,0.0
1494450135455823512,562,1494450135418158482,,wheel_left_joint,wheel_right_joint,2.06163162086,2.02995170234,3.28983769286,3.28983769286,0.0,0.0
1494450135455835673,563,1494450135438545882,,wheel_left_joint,wheel_right_joint,2.12011762429,2.09087462258,2.92430017143,3.04614601191,0.0,0.0
1494450135456015150,564,1494450135458098832,,wheel_left_joint,wheel_right_joint,2.18347746134,2.15179754281,3.16799185239,3.04614601191,0.0,0.0
1494450135456109361,565,1494450135478129152,,wheel_left_joint,wheel_right_joint,2.24683729839,2.21515737986,3.16799185239,3.16799185239,0.0,0.0
1494450135456126689,566,1494450135498891466,,wheel_left_joint,wheel_right_joint,2.31507096905,2.28095413372,3.41168353334,3.28983769286,0.0,0.0
1494450135467721860,567,1494450135519163076,,wheel_left_joint,wheel_right_joint,2.37599388929,2.34918780439,3.04614601191,3.41168353334,0.0,0.0
1494450135483815614,568,1494450135538301404,,wheel_left_joint,wheel_right_joint,2.43935372634,2.41011072462,3.16799185239,3.04614601191,0.0,0.0
1494450135503168833,569,1494450135558090685,,wheel_left_joint,wheel_right_joint,2.5051504802,2.47590747848,3.28983769286,3.28983769286,0.0,0.0
1494450135523458081,570,1494450135578797916,,wheel_left_joint,wheel_right_joint,2.57094723405,2.54170423234,3.28983769286,3.28983769286,0.0,0.0
1494450135543815949,571,1494450135598033535,,wheel_left_joint,wheel_right_joint,2.63674398791,2.60993790301,3.28983769286,3.41168353334,0.0,0.0
1494450135562096541,572,1494450135618037314,,wheel_left_joint,wheel_right_joint,2.70254074177,2.67573465686,3.28983769286,3.28983769286,0.0,0.0
1494450135597278008,573,1494450135638027135,,wheel_left_joint,wheel_right_joint,2.76833749563,2.74153141072,3.28983769286,3.28983769286,0.0,0.0
1494450135604015567,574,1494450135658544867,,wheel_left_joint,wheel_right_joint,2.83657116629,2.80732816458,3.41168353334,3.28983769286,0.0,0.0
1494450135623741956,575,1494450135678313982,,wheel_left_joint,wheel_right_joint,2.93161092186,2.90480483696,4.75198777858,4.87383361906,0.0,0.0
1494450135641996629,576,1494450135697979014,,wheel_left_joint,wheel_right_joint,3.02421376063,2.99497075891,4.63014193811,4.50829609763,0.0,0.0
1494450135663817969,577,1494450135718929951,,wheel_left_joint,wheel_right_joint,3.1192535162,3.09001051448,4.75198777858,4.75198777858,0.0,0.0
1494450135684937575,578,1494450135738198153,,wheel_left_joint,wheel_right_joint,3.20941943815,3.18261335324,4.50829609763,4.63014193811,0.0,0.0
1494450135702964539,579,1494450135758021767,,wheel_left_joint,wheel_right_joint,3.29714844329,3.27034235839,4.38645025715,4.38645025715,0.0,0.0
1494450135723964836,580,1494450135778229002,,wheel_left_joint,wheel_right_joint,3.3751297812,3.3507606131,3.89906689525,4.02091273572,0.0,0.0
1494450135749898801,581,1494450135802643408,,wheel_left_joint,wheel_right_joint,3.45798495272,3.43117886782,4.1427585762,4.02091273572,0.0,0.0
1494450135764646989,582,1494450135818583307,,wheel_left_joint,wheel_right_joint,3.54815087467,3.51890787296,4.50829609763,4.38645025715,0.0,0.0
1494450135787564556,583,1494450135838779042,,wheel_left_joint,wheel_right_joint,3.64319063025,3.61638454534,4.75198777858,4.87383361906,0.0,0.0
1494450135804537254,584,1494450135858447658,,wheel_left_joint,wheel_right_joint,3.74066730263,3.71386121772,4.87383361906,4.87383361906,0.0,0.0
1494450135831022816,585,1494450135878782225,,wheel_left_joint,wheel_right_joint,3.83327014139,3.80646405648,4.63014193811,4.63014193811,0.0,0.0
1494450135843992325,586,1494450135899250333,,wheel_left_joint,wheel_right_joint,3.92343606334,3.89662997844,4.50829609763,4.50829609763,0.0,0.0
1494450135864038099,587,1494450135919003406,,wheel_left_joint,wheel_right_joint,4.01116506848,3.98435898358,4.38645025715,4.38645025715,0.0,0.0
1494450135889456488,588,1494450135938943602,,wheel_left_joint,wheel_right_joint,4.10620482406,4.07939873915,4.75198777858,4.75198777858,0.0,0.0
1494450135908525808,589,1494450135958876298,,wheel_left_joint,wheel_right_joint,4.19880766282,4.17443849472,4.63014193811,4.75198777858,0.0,0.0
1494450135924278049,590,1494450135978917119,,wheel_left_joint,wheel_right_joint,4.28897358477,4.26704133349,4.50829609763,4.63014193811,0.0,0.0
1494450135945175051,591,1494450135999493684,,wheel_left_joint,wheel_right_joint,4.3742656731,4.35477033863,4.26460441668,4.38645025715,0.0,0.0
1494450135965469839,592,1494450136019475130,,wheel_left_joint,wheel_right_joint,4.46199467825,4.44006242696,4.38645025715,4.26460441668,0.0,0.0
1494450135984718851,593,1494450136039421409,,wheel_left_joint,wheel_right_joint,4.54972368339,4.53022834891,4.38645025715,4.50829609763,0.0,0.0
1494450136006594708,594,1494450136059339939,,wheel_left_joint,wheel_right_joint,4.63745268853,4.62283118768,4.38645025715,4.63014193811,0.0,0.0
1494450136029902911,595,1494450136079679798,,wheel_left_joint,wheel_right_joint,4.73249244411,4.71787094325,4.75198777858,4.75198777858,0.0,0.0
1494450136046377449,596,1494450136099846534,,wheel_left_joint,wheel_right_joint,4.82265836606,4.81047378201,4.50829609763,4.63014193811,0.0,0.0
1494450136066049894,597,1494450136119698356,,wheel_left_joint,wheel_right_joint,4.91526120482,4.90063970396,4.63014193811,4.50829609763,0.0,0.0
1494450136094309166,598,1494450136140523378,,wheel_left_joint,wheel_right_joint,5.00542712677,4.99080562592,4.50829609763,4.50829609763,0.0,0.0
1494450136103520500,599,1494450136158984837,,wheel_left_joint,wheel_right_joint,5.10046688234,5.08340846468,4.75198777858,4.63014193811,0.0,0.0
1494450136123105128,600,1494450136179049616,,wheel_left_joint,wheel_right_joint,5.2174388892,5.20038047154,5.84860034287,5.84860034287,0.0,0.0
1494450136150123540,601,1494450136198866730,,wheel_left_joint,wheel_right_joint,5.33684781287,5.31735247839,5.97044618335,5.84860034287,0.0,0.0
1494450136165230935,602,1494450136218947675,,wheel_left_joint,wheel_right_joint,5.45625673654,5.43432448525,5.97044618335,5.84860034287,0.0,0.0
1494450136196183648,603,1494450136244194907,,wheel_left_joint,wheel_right_joint,5.57322874339,5.55129649211,5.84860034287,5.84860034287,0.0,0.0
1494450136208646434,604,1494450136263410401,,wheel_left_joint,wheel_right_joint,5.68776383344,5.65608391492,5.72675450239,5.23937114049,0.0,0.0
1494450136224326047,605,1494450136279892295,,wheel_left_joint,wheel_right_joint,5.79742508987,5.74868675368,5.48306282144,4.63014193811,0.0,0.0
1494450136244626088,606,1494450136299015957,,wheel_left_joint,wheel_right_joint,5.90464942949,5.84372650925,5.36121698096,4.75198777858,0.0,0.0
1494450136263757137,607,1494450136319038236,,wheel_left_joint,wheel_right_joint,6.01674760273,5.94851393206,5.60490866192,5.23937114049,0.0,0.0
1494450136282885080,608,1494450136338905433,,wheel_left_joint,wheel_right_joint,6.1385934432,6.06304902211,6.09229202382,5.72675450239,0.0,0.0
1494450136303568703,609,1494450136358815962,,wheel_left_joint,wheel_right_joint,6.2653131173,6.18489486258,6.33598370478,6.09229202382,0.0,0.0
1494450136323072316,610,1494450136378894157,,wheel_left_joint,wheel_right_joint,6.38472204097,6.30917761987,5.97044618335,6.2141378643,0.0,0.0
1494450136342881455,611,1494450136398817729,,wheel_left_joint,wheel_right_joint,6.49925713101,6.42614962673,5.72675450239,5.84860034287,0.0,0.0
1494450136363226653,612,1494450136418847674,,wheel_left_joint,wheel_right_joint,6.61379222106,6.53824779997,5.72675450239,5.60490866192,0.0,0.0
1494450136383423284,613,1494450136439041993,,wheel_left_joint,wheel_right_joint,6.73076422792,6.6479090564,5.84860034287,5.48306282144,0.0,0.0
1494450136405161300,614,1494450136459762557,,wheel_left_joint,wheel_right_joint,6.85017315159,6.76244414644,5.97044618335,5.72675450239,0.0,0.0
1494450136422924624,615,1494450136478910636,,wheel_left_joint,wheel_right_joint,6.96714515844,6.87697923649,5.84860034287,5.72675450239,0.0,0.0
1494450136444840543,616,1494450136500657107,,wheel_left_joint,wheel_right_joint,7.0841171653,6.98907740973,5.84860034287,5.60490866192,0.0,0.0
1494450136464653004,617,1494450136520340431,,wheel_left_joint,wheel_right_joint,7.20596300578,7.10117558297,6.09229202382,5.60490866192,0.0,0.0
1494450136484640355,618,1494450136539770798,,wheel_left_joint,wheel_right_joint,7.32293501263,7.20596300578,5.84860034287,5.23937114049,0.0,0.0
1494450136505879407,619,1494450136558751128,,wheel_left_joint,wheel_right_joint,7.43503318587,7.3131873454,5.60490866192,5.36121698096,0.0,0.0
1494450136527110853,620,1494450136579333402,,wheel_left_joint,wheel_right_joint,7.54956827592,7.42772243544,5.72675450239,5.72675450239,0.0,0.0
1494450136542833016,621,1494450136598770103,,wheel_left_joint,wheel_right_joint,7.66654028278,7.55200519273,5.84860034287,6.2141378643,0.0,0.0
1494450136564615392,622,1494450136618752424,,wheel_left_joint,wheel_right_joint,7.78594920645,7.6714141164,5.97044618335,5.97044618335,0.0,0.0
1494450136586486688,623,1494450136638836119,,wheel_left_joint,wheel_right_joint,7.90048429649,7.79082304006,5.72675450239,5.97044618335,0.0,0.0
1494450136606359736,624,1494450136659969804,,wheel_left_joint,wheel_right_joint,8.01501938654,7.90779504692,5.72675450239,5.84860034287,0.0,0.0
1494450136624122340,625,1494450136679913334,,wheel_left_joint,wheel_right_joint,8.1319913934,8.02476705378,5.84860034287,5.84860034287,0.0,0.0
1494450136644609591,626,1494450136699780489,,wheel_left_joint,wheel_right_joint,8.25140031707,8.14173906064,5.97044618335,5.84860034287,0.0,0.0
1494450136663760208,627,1494450136719830892,,wheel_left_joint,wheel_right_joint,8.37568307435,8.26358490111,6.2141378643,6.09229202382,0.0,0.0
1494450136684468863,628,1494450136740000420,,wheel_left_joint,wheel_right_joint,8.49509199802,8.38543074159,5.97044618335,6.09229202382,0.0,0.0
1494450136708258411,629,1494450136759709785,,wheel_left_joint,wheel_right_joint,8.61206400488,8.50240274845,5.84860034287,5.84860034287,0.0,0.0
1494450136723670019,630,1494450136779802230,,wheel_left_joint,wheel_right_joint,8.75096826302,8.63887008978,6.94521290716,6.82336706668,0.0,0.0
1494450136744801265,631,1494450136799811884,,wheel_left_joint,wheel_right_joint,8.89230943797,8.78264818154,7.06705874763,7.18890458811,0.0,0.0
1494450136765647785,632,1494450136819729663,,wheel_left_joint,wheel_right_joint,9.03852444654,8.93130010692,7.31075042859,7.43259626906,0.0,0.0
1494450136784379373,633,1494450136839744192,,wheel_left_joint,wheel_right_joint,9.18717637192,9.08238894911,7.43259626906,7.55444210954,0.0,0.0
1494450136804064709,634,1494450136859768013,,wheel_left_joint,wheel_right_joint,9.33095446369,9.22129320726,7.18890458811,6.94521290716,0.0,0.0
1494450136824147224,635,1494450136879791583,,wheel_left_joint,wheel_right_joint,9.46498488821,9.35532363178,6.7015212262,6.7015212262,0.0,0.0
1494450136844032643,636,1494450136899741821,,wheel_left_joint,wheel_right_joint,9.59901531273,9.48935405631,6.7015212262,6.7015212262,0.0,0.0
