%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1494450148899014694,0,-37,1,0,-329
1494450148919173545,0,-37,1,0,-329
1494450148943347777,0,-37,1,0,-329
1494450148963775254,0,-37,1,0,-329
1494450148978301145,0,-37,1,0,-329
1494450148998627881,0,-37,1,0,-329
1494450149018527949,0,-37,1,0,-329
1494450149039841876,0,-37,1,0,-329
1494450149059869383,0,-37,1,0,-329
1494450149080734482,0,-37,1,0,-329
1494450149101919028,0,-37,1,0,-329
1494450149120122800,0,-37,1,0,-329
1494450149139423254,0,-37,1,0,-329
1494450149159937276,0,-37,1,0,-329
1494450149180641998,0,-37,1,0,-329
1494450149200288062,0,-37,1,0,-329
1494450149219683451,0,-37,1,0,-329
1494450149239492636,0,-37,1,0,-329
1494450149259732972,0,-37,1,0,-329
1494450149279699589,0,-37,1,0,-329
1494450149303158918,0,-37,1,0,-329
1494450149319032599,0,-37,1,0,-329
1494450149340621123,0,-37,1,0,-329
1494450149358703565,0,-37,1,0,-329
1494450149380977390,0,0,0,0,0
1494450149399753640,0,0,0,0,0
1494450149420541248,0,0,0,0,0
1494450149439194693,0,0,0,0,0
1494450149469190782,0,0,0,0,0
1494450149493364012,0,0,0,0,0
1494450149500898288,0,0,0,0,0
1494450149519694165,0,0,0,0,0
1494450149540147856,0,0,0,0,0
1494450149559559458,0,0,0,0,0
1494450149580191666,0,37,1,0,330
1494450149602406787,0,37,1,0,330
1494450149620203754,0,37,1,0,330
1494450149639246704,0,37,1,0,330
1494450149659749812,0,37,1,0,330
1494450149680063362,0,37,1,0,330
1494450149700334985,0,37,1,0,330
1494450149720225633,0,37,1,0,330
1494450149741150542,0,37,1,0,330
1494450149760486835,0,37,1,0,330
1494450149779148072,0,37,1,0,330
1494450149802397202,0,37,1,0,330
1494450149821201383,0,37,1,0,330
1494450149840460100,0,37,1,0,330
1494450149859984606,0,37,1,0,330
1494450149880651281,0,37,1,0,330
1494450149902516639,0,37,1,0,330
1494450149922637806,0,37,1,0,330
1494450149940476512,0,37,1,0,330
1494450149960449153,0,37,1,0,330
1494450149980659025,0,37,1,0,330
1494450150000422527,0,37,1,0,330
1494450150022623798,0,37,1,0,330
1494450150042546120,0,37,1,0,330
1494450150059432784,0,37,1,0,330
1494450150080595998,0,0,0,0,0
1494450150100682716,0,0,0,0,0
1494450150122032007,0,0,0,0,0
1494450150149649876,0,0,0,0,0
1494450150164735550,0,0,0,0,0
1494450150181685659,0,0,0,0,0
1494450150200092173,0,0,0,0,0
1494450150225549934,0,0,0,0,0
1494450150244660319,0,0,0,0,0
1494450150261542692,0,0,0,0,0
1494450150281264993,0,0,0,0,0
1494450150300521088,0,0,0,0,0
1494450150320079297,0,0,0,0,0
1494450150339977036,0,0,0,0,0
1494450150365045465,0,0,0,0,0
1494450150381546616,0,0,0,0,0
1494450150401685026,0,0,0,0,0
1494450150421788849,0,0,0,0,0
1494450150445008636,0,0,0,0,0
1494450150462460605,0,0,0,0,0
1494450150485319432,0,0,0,0,0
1494450150503073217,0,0,0,0,0
1494450150520439297,0,0,0,0,0
1494450150540742638,0,0,0,0,0
1494450150560970126,0,0,0,0,0
