%time,field.data
1494449908774970583,{ AA 55 4D 01 0F 64 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 10 06 73 07 6F 06 06 02 00 00 0D 0E C5 06 90 FF EA FF C0 FF 8B FF EC FF BF FF 10 10 00 00 F0 0F EA 0F DF 0F E5 0F EE 0F 00 00 00 00 1A }
1494449908774983866,{ AA 55 4D 01 0F 78 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 73 07 57 06 06 02 00 00 0D 0E C7 06 84 FF E7 FF C1 FF 81 FF DE FF C3 FF 10 10 00 00 EA 0F E9 0F E0 0F EB 0F EF 0F 00 00 00 00 48 }
1494449908774993606,{ AA 55 4D 01 0F 8C 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 70 07 57 06 06 02 00 00 0D 0E C9 06 81 FF D8 FF C1 FF 81 FF D6 FF BD FF 10 10 00 00 E4 0F E7 0F EB 0F EB 0F F0 0F 00 00 00 00 EA }
1494449908775010230,{ AA 55 4D 01 0F A0 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 70 07 65 06 06 02 00 00 0D 0E CB 06 83 FF D7 FF BC FF 8A FF D7 FF BC FF 10 10 00 00 E0 0F E9 0F ED 0F F7 0F F1 0F 00 00 00 00 9C }
1494449908775017112,{ AA 55 4D 01 0F B4 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 72 07 6D 06 06 02 00 00 0D 0E CD 06 91 FF D7 FF B9 FF 95 FF D7 FF B4 FF 10 10 00 00 E4 0F EC 0F EC 0F F6 0F EF 0F 00 00 00 00 9B }
1494449908775027377,{ AA 55 4D 01 0F C8 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 12 06 72 07 71 06 06 02 00 00 0D 0E CF 06 96 FF DC FF B2 FF 95 FF E5 FF B6 FF 10 10 00 00 EA 0F F0 0F F1 0F E8 0F ED 0F 00 00 00 00 DD }
1494449908775034448,{ AA 55 53 01 0F DC 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 0F 06 75 07 71 06 06 02 00 00 0D 14 D1 09 91 FF ED FF BB FF 8B FF EF FF BE FF 85 FF EA FF BA FF 10 10 00 00 EB 0F F1 0F E6 0F E5 0F EE 0F 00 00 00 00 D6 }
1494449908775043237,{ AA 55 4D 01 0F F0 5A 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 75 07 71 06 06 02 00 00 0D 0E D4 06 83 FF E4 FF B3 FF 85 FF E0 FF AD FF 10 10 00 00 EA 0F E8 0F E0 0F EB 0F F0 0F 00 00 00 00 CF }
1494449908775059318,{ AA 55 4D 01 0F 04 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 71 07 6F 06 06 02 00 00 0D 0E D6 06 86 FF E3 FF AE FF 83 FF E9 FF B6 FF 10 10 00 00 E0 0F E7 0F E8 0F F0 0F ED 0F 00 00 00 00 22 }
1494449908775066012,{ AA 55 4D 01 0F 18 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 0F 06 70 07 68 06 06 02 00 00 0D 0E D8 06 7F FF EE FF C2 FF 80 FF F2 FF C7 FF 10 10 00 00 E2 0F EB 0F ED 0F F5 0F EE 0F 00 00 00 00 D4 }
1494449908775072933,{ AA 55 4D 01 0F 2C 5B 00 00 00 AB F3 40 BF 00 00 00 00 9D 00 03 03 00 00 00 04 07 18 29 00 00 00 00 00 05 06 11 06 72 07 59 06 06 02 00 00 0D 0E DA 06 85 FF F3 FF C4 FF 88 FF F1 FF BC FF 10 10 00 00 E5 0F EB 0F EE 0F EA 0F EF 0F 00 00 00 00 44 }
