,labels,time,vleft,vright,vw,vx
215,False,1.075,4.9719,4.9985,0.0040935,0.17448
216,False,1.08,4.7952,5.1312,0.051808,0.17371
217,False,1.085,5.1222,4.8399,-0.043519,0.17434
218,False,1.09,4.7663,5.0958,0.050804,0.17259
219,False,1.095,4.9649,5.2072,0.037365,0.17801
220,False,1.1,4.7686,4.8313,0.009667,0.168
221,False,1.105,5.2379,4.964,-0.042224,0.17853
222,False,1.11,5.0112,4.7709,-0.037042,0.17119
223,False,1.115,5.2048,4.8629,-0.052722,0.17618
224,False,1.12,4.9416,5.0831,0.02181,0.17543
225,False,1.125,5.1922,5.1857,-0.0010105,0.18161
226,False,1.13,4.8775,4.9224,0.006916,0.1715
227,False,1.135,5.2045,4.7636,-0.06798,0.17444
228,False,1.14,5.1973,5.2026,0.0008266,0.182
229,False,1.145,4.9493,4.9855,0.0055927,0.17386
230,False,1.15,5.0625,5.2052,0.022006,0.17969
231,False,1.155,5.0338,4.914,-0.018473,0.17409
232,False,1.16,5.1973,5.0956,-0.015681,0.18012
233,False,1.165,4.8571,4.7587,-0.015165,0.16828
234,False,1.17,4.7519,5.0062,0.039201,0.17077
235,False,1.175,5.1903,4.9159,-0.042306,0.17686
236,False,1.18,4.8676,4.9181,0.0077856,0.17125
237,True,1.185,4.8724,8.2654,0.52314,0.22991
238,False,1.19,5.0705,5.1253,0.0084484,0.17842
239,False,1.195,4.9023,4.917,0.0022665,0.17184
240,False,1.2,5.1628,5.0664,-0.014863,0.17901
241,False,1.205,5.1918,4.9578,-0.03609,0.17762
242,False,1.21,5.2227,5.0382,-0.028437,0.17957
243,False,1.215,4.9454,5.2298,0.043843,0.17807
244,False,1.22,5.1507,5.0579,-0.014298,0.17865
245,False,1.225,4.8286,4.8253,-0.00050383,0.16894
246,False,1.23,5.0626,5.1691,0.016429,0.17906
247,False,1.235,5.0995,5.1131,0.0020954,0.17872
248,False,1.24,4.7929,4.8044,0.0017714,0.16795
249,False,1.245,5.0156,4.8307,-0.028511,0.17231
250,False,1.25,5.1943,4.8985,-0.045605,0.17662
251,False,1.255,4.8818,4.9618,0.012328,0.17226
252,False,1.26,4.8674,5.0142,0.022637,0.17293
253,False,1.265,5.1698,4.8875,-0.043523,0.176
254,False,1.27,4.9978,5.164,0.025627,0.17783
255,False,1.275,4.8262,5.1464,0.049371,0.17452
256,False,1.28,4.8654,4.8869,0.0033134,0.17066
257,False,1.285,5.079,5.0578,-0.0032579,0.17739
258,False,1.29,5.0315,4.8008,-0.03557,0.17206
259,False,1.295,4.8959,5.085,0.029151,0.17467
260,False,1.3,5.0612,4.9237,-0.021193,0.17473
261,False,1.305,5.108,5.0847,-0.0035778,0.17837
262,False,1.31,4.8904,4.8977,0.0011233,0.17129
263,False,1.315,4.9561,5.0902,0.020673,0.17581
264,False,1.32,4.9311,4.9469,0.0024336,0.17286
265,False,1.325,5.1407,4.9459,-0.030033,0.17652
266,False,1.33,4.8177,4.8535,0.0055103,0.16925
267,False,1.335,5.201,5.1123,-0.013688,0.18048
268,False,1.34,4.8948,5.1597,0.040834,0.17595
269,False,1.345,4.9998,5.2132,0.032912,0.17873
270,False,1.35,5.1418,5.0071,-0.020774,0.1776
271,False,1.355,5.0885,4.8466,-0.037307,0.17386
272,False,1.36,4.8249,5.0515,0.03493,0.17284
273,False,1.365,5.0983,4.8491,-0.038426,0.17408
274,False,1.37,4.8145,4.9552,0.021692,0.17097
275,False,1.375,5.223,5.1765,-0.0071597,0.18199
276,False,1.38,5.1932,4.9645,-0.035257,0.17776
277,False,1.385,5.0075,5.2128,0.031658,0.17886
278,False,1.39,5.0897,4.9365,-0.023616,0.17546
279,False,1.395,5.2384,5.0991,-0.021474,0.18091
280,False,1.4,4.8127,5.0443,0.035707,0.1725
281,False,1.405,5.1261,4.8004,-0.050216,0.17371
282,False,1.41,5.1635,4.9562,-0.031967,0.1771
283,False,1.415,5.1407,5.2124,0.011046,0.18118
284,False,1.42,4.8454,4.7778,-0.010433,0.16841
285,False,1.425,4.9643,4.942,-0.0034378,0.17336
286,False,1.43,4.7572,4.8703,0.017437,0.16848
287,False,1.435,4.9126,4.8639,-0.0075147,0.17109
288,False,1.44,4.8174,4.9286,0.017147,0.17055
289,False,1.445,4.9753,5.2121,0.03651,0.17828
290,False,1.45,5.0361,5.0012,-0.0053793,0.17565
291,True,1.455,3.6018,5.1516,0.23896,0.15319
292,False,1.46,4.9599,4.9251,-0.0053552,0.17299
293,False,1.465,5.0163,4.9793,-0.0056936,0.17492
294,False,1.47,5.2129,5.2255,0.0019576,0.18267
295,False,1.475,5.1995,4.8165,-0.05906,0.17528
296,False,1.48,5.0224,4.7852,-0.036582,0.17163
297,False,1.485,5.2006,5.103,-0.015036,0.18031
298,False,1.49,4.7759,5.2159,0.067832,0.17486
299,False,1.495,5.1543,4.8045,-0.053942,0.17428
300,False,1.5,4.9175,5.0758,0.024422,0.17488
301,False,1.505,4.8643,4.823,-0.0063695,0.16953
302,False,1.51,5.1612,5.097,-0.0099017,0.17952
303,False,1.515,4.9241,5.0628,0.021384,0.17477
304,False,1.52,4.8327,4.7719,-0.0093858,0.16808
305,False,1.525,4.7641,5.149,0.059345,0.17348
306,False,1.53,5.2277,5.2431,0.0023776,0.18324
307,False,1.535,5.0901,4.9684,-0.018776,0.17602
308,False,1.54,5.1803,4.9224,-0.039765,0.1768
309,False,1.545,5.2195,4.7744,-0.068634,0.17489
