%time,field.data
1494450135456555446,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135456629862,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135456634883,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135456666660,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135456673280,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135456684365,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135456695786,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135467389581,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135485456872,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135504032719,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135523817768,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135543656171,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135563742321,[ 0xaa 0x55 0x06 0x01 0x04 0x96 0x00 0x00 0x00 0x95 ]
1494450135597200540,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135604997312,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135623007703,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135643033468,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135663606225,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135685072760,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135704354615,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135726321066,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135751363306,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135765577136,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135788931871,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135808338773,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135830904918,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135845188094,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135864803900,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135890488585,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135908456049,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
1494450135924090215,[ 0xaa 0x55 0x06 0x01 0x04 0xc8 0x00 0x00 0x00 0xcb ]
