%time,field.data
1494450135451261398,{ AA 55 4D 01 0F EC CE 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 0E 06 72 07 6E 06 06 02 00 00 0D 0E E9 06 A8 FF E8 FF BD FF AC FF E5 FF C4 FF 10 10 00 00 E8 0F E9 0F EB 0F F4 0F EE 0F 00 00 00 00 65 }
1494450135451266744,{ AA 55 4D 01 0F 00 CF 00 00 00 86 AA 08 21 00 00 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 00 00 00 00 00 05 06 12 06 72 07 6E 06 06 02 00 00 0D 0E EB 06 A8 FF E1 FF C4 FF 9F FF E1 FF BC FF 10 10 00 00 E3 0F EC 0F F0 0F F3 0F EF 0F 00 00 00 00 BA }
1494450135451281712,{ AA 55 4D 01 0F 14 CF 00 00 00 86 AA 08 21 12 12 00 00 9C 00 03 03 00 00 00 04 07 E4 0B FF FF 00 00 00 05 06 12 06 72 07 6D 06 06 02 00 00 0D 0E ED 06 98 FF E5 FF B7 FF 95 FF E9 FF BA FF 10 10 00 00 E8 0F E7 0F EA 0F F3 0F F0 0F 00 00 00 00 ED }
1494450135451287577,{ AA 55 4D 01 0F 28 CF 00 00 00 86 AA 08 21 12 12 00 00 9C 00 03 03 00 00 00 04 07 E4 0B 06 00 00 00 00 05 06 12 06 71 07 6D 06 06 02 00 00 0D 0E EF 06 96 FF EA FF C1 FF 99 FF E6 FF C3 FF 10 10 00 00 E1 0F EA 0F E9 0F F6 0F ED 0F 00 00 00 00 C4 }
1494450135451299698,{ AA 55 4D 01 0F 3C CF 00 00 00 86 AA 08 21 12 12 00 00 9C 00 03 03 00 00 00 04 07 E4 0B FB FF 00 00 00 05 06 12 06 70 07 6D 06 06 02 00 00 0D 0E F1 06 9A FF E1 FF BF FF 99 FF DD FF B9 FF 10 10 00 00 E1 0F EC 0F E6 0F EE 0F EE 0F 00 00 00 00 E7 }
1494450135451308072,{ AA 55 4D 01 0F 50 CF 00 00 00 86 AA 08 21 12 12 00 00 9C 00 03 03 00 00 00 04 07 E4 0B FC FF 00 00 00 05 06 14 06 70 07 70 06 06 02 00 00 0D 0E F3 06 96 FF DD FF B6 FF 95 FF E0 FF B7 FF 10 10 00 00 E8 0F E5 0F E7 0F EF 0F EE 0F 00 00 00 00 93 }
1494450135451315315,{ AA 55 4D 01 0F 64 CF 00 00 00 86 AA 08 21 12 12 00 00 9C 00 03 03 00 00 00 04 07 E4 0B F8 FF 00 00 00 05 06 14 06 6E 07 74 06 06 02 00 00 0D 0E F5 06 96 FF E4 FF B6 FF 96 FF E6 FF B4 FF 10 10 00 00 E8 0F E9 0F E9 0F F0 0F EE 0F 00 00 00 00 9D }
1494450135451322620,{ AA 55 4D 01 0F 78 CF 00 00 00 8A AA 0C 21 10 10 00 00 9C 00 03 03 00 00 00 04 07 E3 0B F9 FF 00 00 00 05 06 12 06 79 07 74 06 06 02 00 01 0D 0E F7 06 95 FF E8 FF B3 FF 94 FF E9 FF B4 FF 10 10 00 00 E4 0F E3 0F E2 0F ED 0F F1 0F 00 00 00 00 95 }
1494450135451332433,{ AA 55 53 01 0F 8C CF 00 00 00 94 AA 15 21 0B 0C 00 00 9C 00 03 03 00 00 00 04 07 E3 0B FC FF 00 00 00 05 06 14 06 79 07 6D 06 06 02 01 01 0D 14 F9 09 96 FF E8 FF B5 FF 9A FF E3 FF B6 FF 9E FF DE FF B7 FF 10 10 00 00 EE 0F EA 0F DD 0F E9 0F ED 0F 00 00 00 00 50 }
1494450135451339006,{ AA 55 4D 01 0F A0 CF 00 00 00 99 AA 19 21 09 0A 00 00 9C 00 03 03 00 00 00 04 07 E3 0B FC FF 00 00 00 05 06 14 06 76 07 6D 06 06 02 01 01 0D 0E FC 06 9E FF E0 FF B9 FF 98 FF E5 FF B8 FF 10 10 00 00 EA 0F E9 0F DE 0F EA 0F EE 0F 00 00 00 00 72 }
1494450135451347449,{ AA 55 4D 01 0F B4 CF 00 00 00 9D AA 1D 21 09 0A 00 00 9C 00 03 03 00 00 00 04 07 E3 0B 01 00 00 00 00 05 06 13 06 78 07 70 06 06 02 00 00 0D 0E FE 06 80 FF DF FF B7 FF 44 FF C4 FF BC FF 10 10 00 00 EA 0F E9 0F DE 0F E6 0F EF 0F 00 00 00 00 A9 }
1494450135451353936,{ AA 55 4D 01 0F C8 CF 00 00 00 A2 AA 21 21 0B 0C 00 00 9C 00 03 03 00 00 00 04 07 E3 0B F3 FF 00 00 00 05 06 12 06 78 07 70 06 06 02 00 00 0D 0E 00 06 E8 FE A3 FF C2 FF 9C FE 99 FF B4 FF 10 10 00 00 E7 0F EF 0F DE 0F E9 0F F2 0F 00 00 00 00 D5 }
1494450135452241203,{ AA 55 4D 01 0F DC CF 00 00 00 A8 AA 24 21 0B 0D 00 00 9C 00 03 03 00 00 00 04 07 E1 0B 87 FF 00 00 00 05 06 10 06 78 07 AD 06 06 02 01 00 0D 0E 02 06 9F FE B4 FF 87 FF 09 FF E8 FF 4F FF 10 10 00 00 EB 0F F3 0F DF 0F E1 0F EE 0F 00 00 00 00 5B }
1494450135452261864,{ AA 55 4D 01 0F F0 CF 00 00 00 AE AA 2B 21 0A 0C 00 00 9C 00 03 03 00 00 00 04 07 DF 0B 7B FF 00 00 00 05 06 14 06 85 07 AD 06 06 02 00 00 0D 0E 04 06 AC FF 1B 00 2A FF 3C 00 3E 00 27 FF 10 10 00 00 EA 0F F1 0F E2 0F DE 0F EE 0F 00 00 00 00 07 }
1494450135452270358,{ AA 55 4D 01 0F 04 D0 00 00 00 B5 AA 32 21 09 0A 00 00 9C 00 03 03 00 00 00 04 07 DD 0B B6 FF 00 00 00 05 06 14 06 85 07 77 06 06 02 00 01 0D 0E 06 06 87 00 4D 00 3D FF 8A 00 44 00 5A FF 10 10 00 00 EA 0F F0 0F EB 0F E1 0F F0 0F 00 00 00 00 F0 }
1494450135452286380,{ AA 55 4D 01 0F 18 D0 00 00 00 BB AA 37 21 09 09 00 00 9C 00 03 03 00 00 00 04 07 DC 0B DD FF 00 00 00 05 06 12 06 85 07 6E 06 06 02 00 00 0D 0E 08 06 58 00 25 00 75 FF 03 00 F5 FF 8A FF 10 10 00 00 E5 0F EB 0F EC 0F E6 0F ED 0F 00 00 00 00 7F }
1494450135452294793,{ AA 55 4D 01 0F 2C D0 00 00 00 BF AA 3C 21 0A 0A 00 00 9C 00 03 03 00 00 00 04 07 DB 0B E5 FF 00 00 00 05 06 12 06 72 07 6E 06 06 02 00 00 0D 0E 0A 06 9E FF C1 FF 95 FF 47 FF 9C FF 9B FF 10 10 00 00 E5 0F EB 0F EB 0F EB 0F EE 0F 00 00 00 00 86 }
1494450135452304949,{ AA 55 4D 01 0F 40 D0 00 00 00 C3 AA 40 21 0C 0C 00 00 9C 00 03 03 00 00 00 04 07 DC 0B 1A 00 00 00 00 05 06 12 06 72 07 6F 06 06 02 00 00 0D 0E 0C 06 1C FF 8D FF A9 FF 25 FF 95 FF CA FF 10 10 00 00 E6 0F F1 0F EA 0F F0 0F ED 0F 00 00 00 00 22 }
